tenure_months,monthly_spend,support_tickets,contract_type,paperless_billing,usage_gb,churn
13,82.59,0,One-Year,No,298.1,0
54,42.01,1,Two-Year,Yes,168.0,0
13,114.83,2,One-Year,Yes,162.1,1
39,50.88,1,Month-to-Month,Yes,70.9,0
23,64.52,4,One-Year,Yes,467.3,0
14,93.77,2,One-Year,Yes,322.7,1
17,57.05,1,Two-Year,Yes,23.2,0
24,69.14,2,Month-to-Month,No,334.6,0
58,126.03,1,Two-Year,No,229.1,0
63,43.3,2,Month-to-Month,Yes,486.6,0
34,30.69,0,Two-Year,No,411.3,0
51,62.69,3,Month-to-Month,Yes,93.9,0
10,75.17,0,Two-Year,Yes,362.9,0
21,90.55,0,Two-Year,Yes,247.9,0
37,68.42,1,Month-to-Month,Yes,101.7,0
7,122.69,2,Two-Year,Yes,352.4,0
13,25.11,1,Month-to-Month,Yes,278.2,0
30,76.13,2,Month-to-Month,Yes,24.9,1
31,69.69,1,Month-to-Month,Yes,326.8,0
5,104.19,0,Two-Year,Yes,321.1,1
32,145.62,0,Month-to-Month,Yes,80.6,0
16,86.35,1,One-Year,Yes,181.0,0
22,148.29,2,One-Year,Yes,297.1,0
64,59.29,2,Two-Year,No,78.0,0
44,24.01,2,One-Year,Yes,427.8,1
40,41.54,1,Month-to-Month,Yes,23.5,1
37,71.37,1,Month-to-Month,Yes,60.4,0
16,61.12,1,Month-to-Month,No,66.9,1
43,32.62,0,One-Year,Yes,268.8,0
63,76.25,0,Month-to-Month,Yes,313.9,1
15,63.96,0,Month-to-Month,Yes,207.8,0
44,35.94,2,Two-Year,No,151.4,1
9,58.5,0,Month-to-Month,Yes,406.6,0
65,135.24,2,One-Year,Yes,43.5,0
44,59.27,2,Month-to-Month,Yes,147.3,0
20,112.81,1,Month-to-Month,Yes,29.2,1
70,99.57,4,Month-to-Month,Yes,16.8,1
33,75.53,1,Month-to-Month,No,183.2,0
6,51.07,3,Two-Year,Yes,105.5,0
31,67.97,2,Month-to-Month,Yes,141.5,1
66,96.97,1,Month-to-Month,Yes,412.3,0
18,65.6,5,One-Year,Yes,89.9,1
28,47.94,5,One-Year,Yes,392.3,0
68,35.14,0,One-Year,Yes,340.8,0
65,134.37,3,Two-Year,Yes,170.0,1
45,77.24,2,One-Year,Yes,277.8,0
58,101.28,1,Month-to-Month,Yes,227.8,0
47,83.75,3,Two-Year,No,72.9,0
66,133.43,2,One-Year,Yes,454.5,0
52,91.1,2,Month-to-Month,No,289.1,0
36,82.5,1,Month-to-Month,Yes,441.3,0
1,140.2,2,Month-to-Month,Yes,413.7,1
39,113.56,0,Month-to-Month,Yes,49.1,0
1,34.5,1,Month-to-Month,Yes,111.6,0
14,43.1,3,Month-to-Month,Yes,81.2,1
71,122.33,1,Two-Year,No,417.1,0
23,128.66,3,Two-Year,No,432.6,0
43,90.87,1,One-Year,Yes,268.7,0
22,92.08,2,Two-Year,No,61.0,0
60,102.15,0,Month-to-Month,Yes,76.5,1
27,77.09,0,Two-Year,No,408.6,0
56,108.43,0,One-Year,Yes,465.3,0
2,34.1,2,Month-to-Month,No,107.7,0
39,144.97,1,Month-to-Month,Yes,15.5,1
51,117.52,4,Month-to-Month,No,172.2,0
19,102.05,1,Month-to-Month,Yes,24.9,1
62,61.12,1,Month-to-Month,Yes,415.7,0
71,40.92,1,Month-to-Month,Yes,250.8,1
67,73.21,3,Month-to-Month,No,324.5,0
63,106.0,0,Month-to-Month,Yes,211.6,0
5,102.38,5,Two-Year,Yes,179.3,0
61,69.74,0,Month-to-Month,Yes,118.9,0
71,99.73,0,Month-to-Month,No,387.6,0
7,125.79,0,One-Year,Yes,350.8,0
50,23.42,1,Two-Year,Yes,186.8,0
46,78.58,3,Month-to-Month,No,167.3,0
14,118.61,0,Two-Year,Yes,10.6,0
69,91.0,0,Month-to-Month,Yes,41.1,1
65,104.69,3,Month-to-Month,Yes,315.4,1
65,87.17,3,Month-to-Month,No,262.2,1
57,148.94,0,One-Year,Yes,223.1,0
62,27.1,0,Month-to-Month,Yes,415.5,0
20,83.84,0,One-Year,No,256.9,0
26,31.88,2,Month-to-Month,Yes,198.4,0
44,40.77,1,One-Year,No,89.0,0
67,69.79,4,Month-to-Month,Yes,412.1,0
70,40.22,1,Month-to-Month,Yes,292.4,0
62,145.28,1,One-Year,Yes,55.3,1
45,143.08,3,One-Year,Yes,328.0,0
11,63.69,0,Month-to-Month,Yes,218.3,0
34,103.17,2,Two-Year,Yes,407.6,1
46,89.39,1,One-Year,No,460.3,0
32,126.03,0,Month-to-Month,Yes,304.2,1
5,101.57,1,Two-Year,No,368.5,0
63,20.03,1,One-Year,Yes,37.7,0
29,119.21,2,Month-to-Month,Yes,284.5,0
48,117.09,1,Month-to-Month,No,380.1,0
16,86.26,2,One-Year,Yes,253.4,0
25,137.38,1,Month-to-Month,No,300.8,0
29,138.1,1,Month-to-Month,Yes,450.5,1
52,88.11,2,Month-to-Month,Yes,107.1,0
46,99.04,4,One-Year,Yes,58.1,0
25,149.55,0,Month-to-Month,Yes,348.4,0
23,58.85,2,Two-Year,Yes,413.2,0
34,62.2,1,Month-to-Month,No,426.7,0
67,43.76,0,Month-to-Month,Yes,324.4,0
34,136.46,4,One-Year,Yes,418.3,1
32,116.78,0,One-Year,No,353.3,0
29,33.73,2,Month-to-Month,No,52.8,0
9,147.63,0,Month-to-Month,Yes,383.4,1
66,115.03,2,Month-to-Month,Yes,97.9,1
57,130.57,2,One-Year,Yes,125.9,1
39,26.26,2,Month-to-Month,Yes,203.4,1
7,85.64,2,One-Year,Yes,164.1,0
69,110.82,0,One-Year,No,167.6,0
8,90.58,0,Month-to-Month,Yes,92.9,1
18,106.66,2,Month-to-Month,Yes,154.0,0
49,126.32,2,Month-to-Month,No,19.6,1
16,68.66,2,Month-to-Month,Yes,241.7,1
21,130.33,1,One-Year,No,386.6,1
10,41.18,2,One-Year,Yes,432.5,0
4,55.22,1,One-Year,Yes,412.0,0
44,25.63,1,Month-to-Month,No,214.1,0
8,67.38,0,Two-Year,Yes,367.9,0
55,69.39,1,Month-to-Month,No,151.1,1
19,124.69,1,Month-to-Month,Yes,37.2,1
64,104.91,0,One-Year,No,341.2,0
40,76.77,2,Two-Year,Yes,327.9,0
51,104.77,1,Month-to-Month,Yes,402.8,0
9,26.86,1,One-Year,Yes,311.9,0
30,43.44,1,Two-Year,Yes,86.9,0
56,101.5,0,One-Year,Yes,428.0,0
44,103.38,0,Month-to-Month,Yes,317.4,1
59,120.64,3,Two-Year,Yes,405.7,0
15,72.39,1,One-Year,Yes,389.3,0
68,113.93,1,One-Year,No,156.0,0
70,108.92,3,One-Year,Yes,46.5,0
61,145.24,1,Two-Year,Yes,96.5,0
23,47.97,2,Month-to-Month,Yes,55.5,1
47,91.72,6,Month-to-Month,Yes,129.3,0
17,98.23,0,Month-to-Month,No,235.2,1
57,149.82,3,Month-to-Month,Yes,454.3,1
54,46.15,2,Month-to-Month,Yes,437.3,0
52,88.02,3,One-Year,Yes,362.1,1
22,65.0,1,Month-to-Month,No,21.8,1
39,88.37,1,One-Year,Yes,177.3,0
13,50.18,4,Two-Year,No,344.4,0
66,26.19,3,Month-to-Month,Yes,73.2,0
52,94.43,1,Two-Year,No,402.5,0
14,63.66,1,Month-to-Month,Yes,458.1,1
63,43.65,1,Two-Year,No,183.5,0
71,62.11,0,Two-Year,Yes,355.9,0
28,26.41,2,Month-to-Month,Yes,82.6,1
46,143.56,0,Month-to-Month,No,348.5,1
28,95.55,2,Month-to-Month,Yes,20.5,1
2,125.92,2,Two-Year,Yes,83.9,1
17,75.01,3,Two-Year,No,357.8,1
59,137.43,3,Month-to-Month,Yes,358.8,1
52,82.83,2,One-Year,Yes,324.2,0
4,94.61,2,Month-to-Month,Yes,243.9,1
3,83.93,2,Month-to-Month,Yes,340.7,1
37,115.33,3,Two-Year,No,389.2,1
24,93.67,3,Month-to-Month,Yes,483.6,1
35,55.31,2,Two-Year,Yes,445.4,1
2,38.92,3,Two-Year,Yes,399.3,0
33,98.8,1,Two-Year,Yes,350.4,1
10,83.59,3,Month-to-Month,No,291.3,1
62,32.48,2,Month-to-Month,No,69.1,0
43,71.43,0,Month-to-Month,Yes,91.1,0
69,86.92,1,One-Year,Yes,411.9,0
59,127.5,0,One-Year,No,403.6,0
9,29.89,6,Month-to-Month,Yes,311.1,1
60,65.3,0,One-Year,Yes,225.0,0
63,126.95,0,Month-to-Month,Yes,22.8,0
52,104.3,0,Month-to-Month,Yes,170.3,1
23,57.69,1,Month-to-Month,No,216.1,0
30,129.89,1,Month-to-Month,Yes,248.0,1
43,84.13,1,Month-to-Month,No,465.4,1
68,84.79,1,Month-to-Month,Yes,63.3,0
21,146.96,5,Two-Year,Yes,264.2,1
43,143.13,3,One-Year,No,190.3,1
7,66.61,2,Month-to-Month,No,495.1,1
16,38.28,1,One-Year,No,432.3,0
23,62.34,1,One-Year,Yes,225.0,0
58,23.96,1,Month-to-Month,No,499.9,0
31,22.7,0,One-Year,Yes,261.9,0
69,71.42,1,One-Year,Yes,91.9,0
6,142.33,0,One-Year,Yes,282.4,1
65,133.28,3,One-Year,Yes,120.8,0
59,86.49,4,One-Year,No,321.8,0
28,93.48,1,Month-to-Month,Yes,469.3,1
18,20.77,0,Two-Year,Yes,395.2,0
10,48.02,1,Month-to-Month,Yes,143.9,1
7,23.22,0,Two-Year,Yes,155.5,0
37,118.09,1,Month-to-Month,Yes,44.0,1
45,38.93,2,Month-to-Month,Yes,150.1,0
16,132.98,0,One-Year,Yes,55.4,0
14,103.63,0,Month-to-Month,Yes,254.7,1
11,49.82,0,Two-Year,No,357.1,0
34,40.5,0,Month-to-Month,Yes,378.1,0
60,101.59,0,One-Year,Yes,39.2,0
13,137.11,1,Month-to-Month,No,176.6,1
39,113.39,4,Month-to-Month,Yes,151.2,1
44,65.31,2,Month-to-Month,No,61.1,0
28,96.36,2,One-Year,Yes,187.6,1
40,60.4,3,One-Year,No,156.7,0
16,149.89,2,One-Year,Yes,320.9,1
50,117.35,2,Two-Year,Yes,442.8,0
28,99.87,3,One-Year,Yes,232.9,0
68,75.02,1,Two-Year,Yes,375.9,0
60,100.36,1,Month-to-Month,No,81.5,0
12,64.41,2,Month-to-Month,Yes,448.5,1
16,23.75,0,Month-to-Month,Yes,84.8,0
53,71.36,0,Month-to-Month,Yes,104.1,0
54,140.96,3,One-Year,No,62.2,1
49,101.42,1,One-Year,No,161.7,0
36,30.91,0,One-Year,Yes,280.7,0
62,135.05,2,One-Year,Yes,494.1,1
26,54.95,3,Two-Year,Yes,398.8,0
56,51.69,4,Two-Year,Yes,196.4,0
22,58.62,1,Month-to-Month,Yes,292.2,0
69,95.04,2,Month-to-Month,Yes,315.4,0
49,90.81,0,Month-to-Month,No,413.1,0
2,83.88,1,Month-to-Month,No,370.9,1
53,113.28,2,One-Year,Yes,289.0,0
7,61.15,5,One-Year,Yes,337.9,1
20,121.67,1,Month-to-Month,No,375.5,1
30,42.79,2,One-Year,Yes,75.2,0
67,121.74,2,One-Year,Yes,108.2,0
59,106.3,3,Month-to-Month,No,347.4,1
66,108.82,3,Month-to-Month,Yes,426.7,0
3,82.6,3,Two-Year,Yes,210.5,0
56,106.71,1,One-Year,Yes,490.1,0
17,30.37,0,Month-to-Month,Yes,115.9,1
52,130.7,1,Month-to-Month,Yes,214.2,1
7,27.22,2,Month-to-Month,Yes,195.5,0
5,39.34,2,Month-to-Month,Yes,465.8,1
54,94.98,1,Two-Year,No,149.8,0
61,116.12,1,Month-to-Month,Yes,240.7,1
16,29.91,0,Month-to-Month,Yes,101.7,0
67,139.7,1,Month-to-Month,Yes,265.4,0
59,146.57,4,One-Year,Yes,430.1,0
47,98.77,1,Month-to-Month,No,159.0,1
48,82.56,1,Month-to-Month,Yes,407.3,0
64,116.38,1,One-Year,Yes,456.5,0
50,62.69,0,Month-to-Month,Yes,45.7,0
41,84.12,0,Month-to-Month,Yes,380.6,1
22,139.1,0,Month-to-Month,Yes,135.1,1
54,144.24,0,One-Year,Yes,95.9,0
5,140.52,1,Two-Year,Yes,304.5,0
17,54.12,2,Month-to-Month,No,355.7,0
41,50.22,2,Month-to-Month,No,203.4,0
35,58.7,1,Month-to-Month,No,29.2,0
40,77.37,0,One-Year,No,455.3,1
22,60.84,2,One-Year,No,368.1,1
48,68.65,0,One-Year,No,143.1,1
53,100.68,2,One-Year,Yes,253.5,0
10,119.13,2,Two-Year,Yes,23.6,0
18,115.62,2,Two-Year,No,176.2,1
49,125.88,2,One-Year,Yes,266.0,1
71,24.18,0,Month-to-Month,Yes,263.4,0
30,26.21,3,Month-to-Month,Yes,112.0,0
19,122.62,4,One-Year,Yes,390.6,0
55,89.3,2,One-Year,Yes,156.4,0
60,95.16,1,One-Year,Yes,294.4,1
21,26.84,3,Month-to-Month,Yes,143.0,0
26,53.19,0,One-Year,No,218.3,0
28,102.99,2,Month-to-Month,No,111.7,1
39,131.69,2,One-Year,No,320.2,1
33,139.21,1,Month-to-Month,No,218.5,1
40,85.05,1,Month-to-Month,Yes,17.9,1
29,90.91,0,Month-to-Month,Yes,23.8,0
20,128.3,2,Two-Year,Yes,240.9,0
20,89.89,2,Month-to-Month,No,99.8,1
12,87.19,2,Month-to-Month,Yes,296.7,1
25,137.66,2,Month-to-Month,No,210.0,0
25,122.69,1,One-Year,Yes,330.7,1
4,138.18,1,Month-to-Month,No,476.7,1
4,48.37,1,Two-Year,Yes,269.1,0
9,88.17,3,One-Year,No,395.8,0
15,129.52,4,Month-to-Month,Yes,379.0,1
26,34.45,1,One-Year,Yes,461.7,0
71,123.31,1,Month-to-Month,Yes,114.9,1
32,43.79,4,Two-Year,No,415.4,0
52,125.06,1,Month-to-Month,Yes,453.7,1
32,99.56,1,Two-Year,No,202.5,0
9,45.12,1,One-Year,No,163.8,1
13,81.54,1,Two-Year,No,476.5,0
56,108.65,2,Month-to-Month,Yes,317.5,1
44,102.4,0,Month-to-Month,Yes,196.5,0
30,75.54,1,One-Year,Yes,398.0,0
16,136.92,2,One-Year,No,159.2,0
12,87.5,0,Month-to-Month,No,96.4,1
66,85.76,2,Month-to-Month,No,276.5,0
18,28.09,2,Month-to-Month,Yes,287.4,0
13,139.88,2,One-Year,Yes,414.6,1
24,43.03,0,Month-to-Month,No,233.9,0
12,88.68,1,Month-to-Month,Yes,409.1,1
60,124.46,1,Month-to-Month,No,162.5,0
60,48.01,2,Month-to-Month,Yes,291.9,0
1,88.56,1,Month-to-Month,Yes,112.2,1
43,51.29,3,Two-Year,No,198.9,0
55,118.76,1,Month-to-Month,Yes,430.2,1
40,93.36,4,Two-Year,Yes,115.8,0
64,131.28,0,Month-to-Month,No,407.0,0
34,136.29,0,Month-to-Month,Yes,148.6,1
34,104.34,1,Month-to-Month,No,26.9,1
48,114.3,1,One-Year,No,63.9,0
33,91.4,1,One-Year,Yes,375.5,0
68,69.98,5,Month-to-Month,Yes,138.4,1
30,104.26,0,Month-to-Month,Yes,330.5,0
71,138.08,0,Two-Year,Yes,352.6,0
71,74.17,1,Two-Year,Yes,179.1,0
29,60.87,0,Month-to-Month,No,242.7,0
23,70.5,3,One-Year,Yes,207.8,0
34,76.6,2,Month-to-Month,Yes,474.2,1
15,29.56,2,Month-to-Month,Yes,166.8,0
53,84.8,1,Month-to-Month,Yes,99.8,1
17,84.26,0,Month-to-Month,Yes,189.1,1
64,96.5,2,Two-Year,No,338.1,0
61,67.17,2,Month-to-Month,Yes,351.7,0
57,99.7,0,One-Year,Yes,462.8,0
37,134.17,0,Two-Year,Yes,442.1,0
7,144.21,1,Month-to-Month,Yes,151.3,1
8,95.87,3,Month-to-Month,Yes,233.0,1
68,25.54,2,One-Year,No,376.2,0
21,146.0,4,Month-to-Month,Yes,459.1,1
61,111.76,1,Month-to-Month,Yes,175.2,1
29,63.68,3,Month-to-Month,Yes,227.8,0
25,39.13,2,Month-to-Month,Yes,450.7,1
58,38.64,0,Two-Year,Yes,185.7,0
14,41.81,0,One-Year,Yes,245.5,0
66,25.92,2,Month-to-Month,Yes,453.2,0
54,137.28,2,One-Year,Yes,403.1,0
67,90.3,2,Two-Year,Yes,129.3,0
30,110.99,1,Month-to-Month,Yes,169.1,0
18,127.65,3,Month-to-Month,Yes,182.9,1
54,122.9,2,Two-Year,No,457.2,0
21,134.74,1,Two-Year,Yes,499.5,0
53,145.74,4,Month-to-Month,No,389.3,1
16,77.08,2,Month-to-Month,Yes,247.3,0
28,143.54,0,Month-to-Month,Yes,15.0,1
4,114.03,1,Month-to-Month,Yes,351.8,0
55,29.19,1,One-Year,No,200.8,0
15,108.63,2,Month-to-Month,Yes,320.2,0
64,109.27,2,Month-to-Month,Yes,307.3,1
65,137.76,1,Month-to-Month,Yes,245.6,1
16,68.48,1,Two-Year,Yes,472.7,1
20,96.04,1,Month-to-Month,Yes,21.3,1
64,21.58,1,Month-to-Month,Yes,358.9,1
33,63.17,0,Two-Year,Yes,210.8,0
69,28.09,2,One-Year,Yes,359.8,0
69,87.84,3,Month-to-Month,Yes,340.9,1
58,126.27,2,Month-to-Month,Yes,15.0,0
39,46.84,0,Month-to-Month,Yes,149.8,1
36,88.57,3,One-Year,Yes,102.7,0
68,46.52,2,Month-to-Month,Yes,91.8,0
21,35.69,0,Month-to-Month,Yes,367.0,0
63,86.43,2,Month-to-Month,Yes,127.4,1
6,30.29,0,Month-to-Month,Yes,242.6,0
24,96.36,2,One-Year,Yes,131.0,0
53,24.07,1,Month-to-Month,Yes,294.3,0
50,33.87,2,Month-to-Month,Yes,363.1,1
12,91.5,2,Two-Year,Yes,172.2,0
56,96.88,3,One-Year,Yes,305.5,0
15,23.77,1,Month-to-Month,Yes,414.2,1
40,94.54,1,One-Year,No,56.2,0
41,129.01,3,Month-to-Month,Yes,358.2,0
69,113.9,2,One-Year,Yes,168.3,0
69,37.05,2,One-Year,Yes,70.1,1
6,97.02,0,One-Year,Yes,277.4,0
67,107.39,3,One-Year,No,120.9,1
33,24.84,1,Month-to-Month,No,412.5,0
43,131.2,2,One-Year,No,31.0,1
21,137.81,0,Month-to-Month,No,58.3,1
65,130.56,2,Month-to-Month,Yes,265.3,1
17,127.2,1,Two-Year,Yes,298.6,0
8,116.85,3,One-Year,No,367.6,0
64,102.35,2,Two-Year,Yes,137.0,0
28,108.22,2,Month-to-Month,No,422.5,1
13,124.83,1,Month-to-Month,Yes,477.0,1
13,106.12,3,Month-to-Month,Yes,254.5,1
38,62.6,1,One-Year,No,382.7,0
25,68.87,2,Month-to-Month,Yes,267.2,1
62,136.62,2,Month-to-Month,No,44.0,1
23,22.23,2,Month-to-Month,Yes,169.8,1
21,110.85,1,One-Year,Yes,52.9,0
54,144.12,1,Month-to-Month,No,494.6,1
63,111.81,1,Two-Year,Yes,122.2,0
30,149.21,3,Month-to-Month,Yes,321.6,0
68,109.38,1,Month-to-Month,Yes,149.3,0
32,24.47,2,Month-to-Month,No,330.1,0
24,127.51,1,Two-Year,No,113.1,0
7,57.0,2,Month-to-Month,Yes,394.8,1
1,77.99,3,Month-to-Month,Yes,64.3,1
3,60.57,1,One-Year,No,448.6,0
28,54.91,3,Month-to-Month,No,421.8,0
43,76.08,1,One-Year,Yes,342.6,0
46,69.24,2,Month-to-Month,Yes,43.0,0
1,102.33,0,Month-to-Month,No,112.2,1
38,125.71,3,Month-to-Month,Yes,431.1,1
35,58.62,2,Month-to-Month,No,69.8,0
54,47.78,3,One-Year,Yes,86.4,0
24,106.7,0,One-Year,Yes,276.6,0
28,107.14,0,One-Year,Yes,144.3,0
22,137.15,0,Two-Year,No,118.8,1
16,22.07,2,Month-to-Month,Yes,292.1,0
13,130.9,3,Month-to-Month,Yes,192.6,1
62,87.73,1,One-Year,Yes,78.9,0
43,100.77,0,One-Year,No,272.1,0
32,31.88,0,Month-to-Month,Yes,199.6,1
67,76.24,1,One-Year,Yes,369.9,1
57,49.55,1,Month-to-Month,Yes,60.4,0
65,53.05,1,One-Year,Yes,314.1,0
69,85.53,0,Two-Year,Yes,223.9,1
49,125.62,5,One-Year,Yes,209.0,1
33,116.69,2,Month-to-Month,Yes,123.8,1
19,96.83,1,One-Year,No,24.9,1
36,90.12,2,One-Year,No,425.4,1
70,75.55,1,Month-to-Month,No,169.9,1
15,146.45,1,Month-to-Month,Yes,343.7,1
24,92.83,2,Two-Year,No,474.3,1
27,53.02,0,Month-to-Month,Yes,286.8,0
49,49.91,1,Month-to-Month,Yes,204.6,1
23,99.48,0,Month-to-Month,Yes,141.5,1
33,87.97,0,One-Year,Yes,467.7,0
41,21.0,2,Two-Year,Yes,344.2,0
56,127.91,1,One-Year,Yes,336.0,1
29,111.54,2,Month-to-Month,Yes,218.8,1
31,106.04,3,One-Year,Yes,424.1,1
65,28.94,2,One-Year,Yes,359.7,0
18,67.07,2,One-Year,Yes,148.8,1
6,141.6,0,Month-to-Month,Yes,303.8,0
52,132.14,3,One-Year,Yes,220.8,0
40,57.12,0,Month-to-Month,Yes,13.2,0
65,40.42,1,Month-to-Month,Yes,405.7,0
42,78.38,1,One-Year,Yes,70.2,0
68,66.26,0,Two-Year,No,259.9,0
32,108.69,1,Month-to-Month,Yes,174.8,1
10,145.64,2,Two-Year,Yes,177.6,1
69,67.19,0,Month-to-Month,No,243.9,0
9,28.09,1,One-Year,Yes,498.5,0
69,136.69,4,Month-to-Month,Yes,210.1,0
61,24.93,3,Month-to-Month,Yes,99.3,1
11,143.86,2,One-Year,Yes,310.7,0
68,106.4,2,One-Year,Yes,125.8,0
8,142.42,4,One-Year,No,61.7,0
49,45.96,2,One-Year,Yes,34.6,0
24,25.29,2,One-Year,Yes,21.2,0
33,83.47,1,Two-Year,Yes,221.3,0
19,78.58,2,Month-to-Month,No,219.1,1
2,63.09,1,Month-to-Month,No,100.9,1
55,144.5,3,Month-to-Month,Yes,394.2,1
11,126.94,4,Month-to-Month,Yes,73.3,1
17,106.01,2,One-Year,Yes,458.5,0
42,41.17,2,Month-to-Month,Yes,297.9,1
61,115.46,0,Month-to-Month,Yes,23.5,0
3,114.51,0,Month-to-Month,Yes,481.9,1
35,75.26,0,One-Year,No,160.9,0
66,140.22,3,Month-to-Month,Yes,230.5,1
1,41.71,2,Month-to-Month,Yes,149.3,0
7,54.75,2,One-Year,Yes,366.9,1
20,28.22,0,One-Year,Yes,248.0,0
43,123.41,4,Month-to-Month,Yes,74.9,1
6,100.83,3,One-Year,No,61.1,1
55,60.94,1,Month-to-Month,Yes,365.4,1
21,41.3,2,Two-Year,No,126.2,0
51,25.22,2,Month-to-Month,Yes,77.5,0
46,41.68,3,Two-Year,Yes,254.7,1
35,78.93,0,Two-Year,Yes,403.4,0
8,52.13,0,One-Year,Yes,146.6,0
68,53.67,1,Month-to-Month,Yes,145.5,1
16,133.82,5,One-Year,Yes,418.6,1
67,86.97,2,Month-to-Month,Yes,82.4,0
71,114.8,0,Two-Year,No,312.2,0
64,24.64,2,One-Year,Yes,478.0,0
2,67.47,3,Two-Year,Yes,422.2,0
1,82.29,0,One-Year,Yes,40.3,1
58,44.23,2,One-Year,Yes,166.8,0
1,35.62,2,One-Year,Yes,79.8,0
7,133.14,2,Month-to-Month,Yes,475.1,1
69,142.13,0,Month-to-Month,Yes,493.1,0
18,30.24,8,One-Year,Yes,125.1,1
32,65.37,2,Two-Year,No,338.2,0
45,144.58,1,One-Year,No,422.4,1
33,30.81,1,Two-Year,Yes,124.5,0
49,103.67,0,Two-Year,Yes,102.0,0
33,146.39,0,One-Year,No,15.5,0
71,147.17,0,Month-to-Month,Yes,211.9,1
68,81.26,1,One-Year,Yes,450.7,0
28,41.16,1,Month-to-Month,No,452.5,1
53,46.27,3,Month-to-Month,Yes,72.6,1
44,135.65,0,Month-to-Month,No,110.1,0
55,138.52,2,Two-Year,Yes,209.9,0
10,99.02,1,Month-to-Month,Yes,392.5,1
14,119.6,0,One-Year,Yes,309.8,1
36,116.19,2,Two-Year,No,261.8,0
34,106.04,4,One-Year,Yes,300.0,0
18,127.55,2,One-Year,Yes,57.1,1
16,109.1,2,One-Year,No,244.1,1
37,89.42,1,Month-to-Month,No,496.1,0
41,50.8,1,Month-to-Month,No,53.3,0
25,116.71,1,Two-Year,Yes,264.4,0
8,81.55,1,Month-to-Month,No,154.9,0
18,58.32,2,One-Year,Yes,274.6,0
68,124.25,2,One-Year,Yes,291.2,0
48,110.57,2,Month-to-Month,No,293.0,0
70,141.85,4,Two-Year,Yes,427.6,0
67,41.51,1,One-Year,Yes,201.0,0
18,104.39,3,Month-to-Month,Yes,263.0,1
18,51.75,4,Two-Year,No,15.4,0
56,137.47,2,One-Year,Yes,396.9,0
23,32.93,1,Month-to-Month,Yes,137.1,0
35,105.3,2,One-Year,Yes,410.1,1
6,122.84,1,Month-to-Month,Yes,140.2,1
26,66.14,2,One-Year,No,15.3,0
61,144.04,3,Month-to-Month,Yes,85.9,1
15,130.59,0,One-Year,Yes,493.0,0
32,58.3,2,One-Year,No,166.7,0
12,20.98,4,Two-Year,Yes,63.3,0
5,58.57,1,One-Year,Yes,68.2,0
64,56.57,2,Month-to-Month,Yes,162.1,0
71,135.7,1,Two-Year,No,28.4,0
27,145.73,6,One-Year,Yes,260.6,1
45,29.16,0,One-Year,Yes,114.7,0
35,81.27,1,Month-to-Month,Yes,264.5,1
26,91.28,2,Two-Year,Yes,79.0,0
23,32.08,2,Two-Year,No,220.6,0
13,69.07,4,One-Year,No,303.0,0
3,61.22,0,Two-Year,Yes,40.4,0
29,89.69,2,Month-to-Month,Yes,205.4,0
66,105.95,1,Two-Year,No,158.2,0
64,111.45,2,Month-to-Month,Yes,127.8,0
28,37.78,0,Month-to-Month,Yes,306.2,0
36,125.68,0,One-Year,No,298.4,0
6,108.21,1,One-Year,Yes,319.0,0
11,135.58,3,Month-to-Month,Yes,87.9,1
38,78.41,3,Month-to-Month,Yes,150.0,1
34,136.21,0,Month-to-Month,No,112.7,0
67,132.55,2,Month-to-Month,Yes,274.8,0
46,76.99,2,Month-to-Month,No,235.9,0
29,69.55,1,Month-to-Month,No,171.8,0
60,141.27,2,Month-to-Month,No,395.1,1
54,112.97,3,Two-Year,No,56.0,1
69,140.67,2,One-Year,Yes,487.7,0
9,123.61,1,Month-to-Month,No,67.1,1
10,99.21,1,Two-Year,Yes,388.8,1
68,35.06,0,One-Year,No,190.4,0
58,57.89,4,Month-to-Month,Yes,434.0,0
52,145.95,1,Month-to-Month,Yes,46.3,1
34,61.52,1,Month-to-Month,Yes,193.6,0
35,32.12,2,Month-to-Month,No,174.4,0
33,111.98,1,Month-to-Month,Yes,496.6,0
32,115.42,1,One-Year,Yes,492.9,0
55,57.11,3,One-Year,No,103.0,0
8,58.7,2,One-Year,Yes,318.7,1
46,80.96,5,Month-to-Month,Yes,272.4,1
14,22.83,1,One-Year,Yes,85.6,0
8,122.61,2,One-Year,Yes,92.2,1
71,61.22,0,Two-Year,Yes,494.7,0
54,130.99,5,Month-to-Month,No,231.8,1
21,124.34,0,Two-Year,Yes,71.6,0
14,105.98,1,Two-Year,Yes,115.2,0
2,62.23,1,One-Year,Yes,141.5,0
61,87.12,0,One-Year,No,260.3,0
17,77.83,3,Month-to-Month,Yes,174.4,1
48,64.05,3,Two-Year,Yes,233.0,0
8,130.26,1,Month-to-Month,Yes,91.6,0
56,82.86,1,One-Year,No,170.1,0
17,128.25,0,Month-to-Month,No,44.5,1
69,33.68,5,Month-to-Month,Yes,446.0,0
12,38.33,0,One-Year,Yes,107.4,0
38,147.05,1,Two-Year,Yes,380.9,0
18,96.41,2,Month-to-Month,Yes,181.3,1
26,86.27,2,Two-Year,Yes,242.5,0
37,88.01,3,One-Year,Yes,152.7,1
70,47.98,0,Month-to-Month,Yes,351.3,0
41,113.43,1,Month-to-Month,No,423.8,1
